"Asteroid Quest!","Adventure","Declan Hopkins","https://play.google.com/store/apps/developer?id=Declan+Hopkins","5.0","6","0","0","0","0","6"
"Meet the Numbers","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Snake Balls GO","Arcade","Nezeb Inc.","https://play.google.com/store/apps/developer?id=Nezeb+Inc.","5.0","5","0","0","0","0","5"
"Meet the Shapes Game","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Meet the Sight Words1 Flashcards","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Fragment of Marine","Action","Shiosai Sirens","https://play.google.com/store/apps/developer?id=Shiosai+Sirens","5.0","2","0","0","0","0","2"
"Shanghai Rummy","Card","Isaiah M. Coughlin","https://play.google.com/store/apps/developer?id=Isaiah+M.+Coughlin","5.0","1","0","0","0","0","1"
"Futbol Bilgi Yarışması PRO - Reklamsız","Trivia","YNR Studios","https://play.google.com/store/apps/developer?id=YNR+Studios","0","0",0,0,0,0,0
"Phantom Signal","Strategy","Veslo Games","https://play.google.com/store/apps/developer?id=Veslo+Games","0","0",0,0,0,0,0
"Hanba! Bar - Pro","Card","Hanba Games","https://play.google.com/store/apps/developer?id=Hanba+Games","0","0",0,0,0,0,0
"Pink Piano Pro","Music","Bilkon","https://play.google.com/store/apps/dev?id=7675178358842568877","0","0",0,0,0,0,0
"Imbouncible","Puzzle","Florian Kierstein","https://play.google.com/store/apps/developer?id=Florian+Kierstein","0","0",0,0,0,0,0
"Falling Birds","Casual","AB Apps & Games","https://play.google.com/store/apps/developer?id=AB+Apps+%26+Games","0","0",0,0,0,0,0
"Mr. Bean Tic Tac Toe","Puzzle","Rooplay Media Ltd.","https://play.google.com/store/apps/dev?id=7051233942055662996","0","0",0,0,0,0,0
"Minako","Strategy","Hendojo","https://play.google.com/store/apps/developer?id=Hendojo","5.0","1","0","0","0","0","1"
"Niggle (Oh Hell!)","Card","Sean O'Connor","https://play.google.com/store/apps/dev?id=5875330403581467051","0","0",0,0,0,0,0
"Phonics-LetterSoundgame","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Meet the Sight Words2 Flashcards","Educational","Preschool Prep Company","https://play.google.com/store/apps/dev?id=4963477729692381907","0","0",0,0,0,0,0
"Dart Masters","Sports","gamecampentertainment","https://play.google.com/store/apps/developer?id=gamecampentertainment","3.3","20","7","1","1","1","10"
"MissileDancer","Arcade","terarin","https://play.google.com/store/apps/developer?id=terarin","4.3","3","0","0","0","2","1"
"World War 3 - Global Conflict (Tower Defence)","Strategy","The Lonely Developer","https://play.google.com/store/apps/dev?id=5150174740303921508","0","0",0,0,0,0,0
"4 Color Cards 10 Hu Pro","Card","V.APP Studio","https://play.google.com/store/apps/developer?id=V.APP+Studio","0","0",0,0,0,0,0
"Nicky - The Home alone Golf Ball","Adventure","MinimalLab","https://play.google.com/store/apps/developer?id=MinimalLab","5.0","1","0","0","0","0","1"
"Jumping Cubes (No ADS Pack)","Arcade","Moonstargame","https://play.google.com/store/apps/dev?id=7336246560300461038","5.0","2","0","0","0","0","2"
"Baby Pets Game","Educational","LRV Programming","https://play.google.com/store/apps/developer?id=LRV+Programming","4.7","6","0","0","0","2","4"
"Temlon Puzzle","Action","GS Singh","https://play.google.com/store/apps/developer?id=GS+Singh","0","0",0,0,0,0,0
"Maze Race Challenge","Puzzle","Magnin & Associates","https://play.google.com/store/apps/dev?id=5208808610608579252","5.0","2","0","0","0","0","2"
"Four Atlas","Adventure","HDrone","https://play.google.com/store/apps/developer?id=HDrone","0","0",0,0,0,0,0
