Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Wicked Jewels Crush 2018,Casual,Global Interactive,https://play.google.com/store/apps/developer?id=Global+Interactive,4.4,245,16,2,20,35,172
Scanner for Me: Convert Image to PDF,Business,Apalon Apps,https://play.google.com/store/apps/dev?id=7148047194848561719,4.6,599,13,3,35,116,432
Car Stunt Challenge 2018,Simulation,Versatile Games Studio,https://play.google.com/store/apps/developer?id=Versatile+Games+Studio,4.5,153,10,2,8,12,121
The Cube,Arcade,VOODOO,https://play.google.com/store/apps/developer?id=VOODOO,4,7444,1347,243,422,717,4715
Real Swimming Pool Game 2018,Simulation,The Knights Inc.,https://play.google.com/store/apps/developer?id=The+Knights+Inc.,4.3,449,47,8,31,42,321
Funcalls - Best Voice Changer & Call Recording,Entertainment,Funcalls,https://play.google.com/store/apps/developer?id=Funcalls,4.3,413,38,9,26,42,298
Miraculous Ladybug & Cat Noir - The Official Game,Action,Crazy Labs by TabTale,https://play.google.com/store/apps/developer?id=Crazy+Labs+by+TabTale,4.6,90533,4616,1316,3700,7512,73389
Photo to Video Maker with Music : Slideshow Maker,Video Players & Editors,DSLR Camera,https://play.google.com/store/apps/developer?id=DSLR+Camera,4.2,213,17,8,17,43,128
Modern Bus Coach Driving Simulator 2k18,Simulation,Soft_Tech Gaming Studio,https://play.google.com/store/apps/developer?id=Soft_Tech+Gaming+Studio,3.4,158,47,10,17,8,76
Extreme Car Stunts Game 3D 2,Racing,Larrea Apps,https://play.google.com/store/apps/developer?id=Larrea+Apps,4.2,90,11,3,8,7,61
Panda Lu Baby Bear World - New Pet Care Adventure,Educational,TutoTOONS,https://play.google.com/store/apps/dev?id=6493980387780624296,4.5,298,22,6,17,16,237
3D Train Racing Driver,Simulation,Train Games,https://play.google.com/store/apps/developer?id=Train+Games,4.2,95,12,3,4,7,69
Tricky Stunt Bike Extreme Racer: Superhero,Simulation,Professor Games,https://play.google.com/store/apps/developer?id=Professor+Games,4.4,93,8,1,6,6,72
Couple Photo Suit : Love Couple Photo Suit,Photography,Manya App Studio,https://play.google.com/store/apps/developer?id=Manya+App+Studio,4.8,28,0,1,1,2,24
Easy Bubble Shooter,Casual,Match 3 Bubble Games,https://play.google.com/store/apps/developer?id=Match+3+Bubble+Games,4.5,116,7,2,4,21,82
Superstar Makeup Prom,Role Playing,lemonbab,https://play.google.com/store/apps/developer?id=lemonbab,4.3,237,17,5,22,32,161
Stickman WW2 Battle Simulator,Action,Stickman 3D Fighting Games,https://play.google.com/store/apps/developer?id=Stickman+3D+Fighting+Games,4.4,1169,75,22,81,117,874
How to Listen Someones Call In Our Phone,Tools,Manya App Studio,https://play.google.com/store/apps/developer?id=Manya+App+Studio,4.7,39,2,0,1,0,36
Truck Simulator,Simulation,gamestarstudio,https://play.google.com/store/apps/developer?id=gamestarstudio,4.4,168,11,7,11,12,127
Stellar Age: MMO Strategy,Strategy,Crazy Panda Apps,https://play.google.com/store/apps/developer?id=Crazy+Panda+Apps,4.4,10407,523,178,326,3007,6373
Target Bottle Shoot 3D,Simulation,Gaming Genesis,https://play.google.com/store/apps/developer?id=Gaming+Genesis,4.6,69,6,0,1,4,58
Birthday Video Maker,Photography,Tri Core,https://play.google.com/store/apps/developer?id=Tri+Core,4.1,82,11,0,12,6,53
US Survival Death Mission: FPS War 2018,Action,PJ Solutions,https://play.google.com/store/apps/developer?id=PJ+Solutions,4.2,138,14,5,12,14,93
Fortress Bubbles,Adventure,Fun Match 3 Games,https://play.google.com/store/apps/dev?id=7101346334273770676,4.4,89,1,0,11,26,51
